dataset	run_accession	sample_accession	sample_alias	run_alias	library_layout	instrument_model	read_count	base_count	n_files	bytes	submitted_names
reads_2022	SRR32696701	SAMN47381965	H51R302um_2022	H51R302um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	99458422	30036443444	2	13941256535	
reads_2022	SRR32696702	SAMN47381964	H51R301um_2022	H51R301um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	77648144	23449739488	2	11002470575	
reads_2022	SRR32696703	SAMN47381963	H51R202um_2022	H51R202um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	83116333	25101132566	2	11598742890	
reads_2022	SRR32696704	SAMN47381945	H14R201um_2022	H14R201um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	80843582	24414761764	2	11247616767	
reads_2022	SRR32696705	SAMN47381962	H51R201um_2022	H51R201um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	65073489	19652193678	2	9022876746	
reads_2022	SRR32696706	SAMN47381961	H51R101um_2022	H51R101um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	99260145	29976563790	2	13923764658	
reads_2022	SRR32696707	SAMN47381960	H41R302um_2022	H41R302um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	87947752	26560221104	2	12407857024	
reads_2022	SRR32696708	SAMN47381959	H41R301um_2022	H41R301um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	70360767	21248951634	2	9824995336	
reads_2022	SRR32696709	SAMN47381958	H41R202um_2022	H41R202um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	76101949	22982788598	2	10627829549	
reads_2022	SRR32696710	SAMN47381957	H41R201um_2022	H41R201um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	68275774	20619283748	2	9494879048	
reads_2022	SRR32696711	SAMN47381956	H41R102um_2022	H41R102um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	85628601	25859837502	2	11866980145	
reads_2022	SRR32696712	SAMN47381955	H41R101um_2022	H41R101um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	81329102	24561388804	2	11302233242	
reads_2022	SRR32696713	SAMN47381954	H32R302um_2022	H32R302um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	89047048	26892208496	2	12505054948	
reads_2022	SRR32696714	SAMN47381953	H32R301um_2022	H32R301um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	82843997	25018887094	2	11286515102	
reads_2022	SRR32696715	SAMN47381944	H14R102um_2022	H14R102um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	71784935	21679050370	2	10168710936	
reads_2022	SRR32696716	SAMN47381943	H14R101um_2022	H14R101um_R1.fastq.gz	PAIRED	Illumina NovaSeq 6000	76621364	23139651928	2	10683208479	
