dataset	relpath	url	bytes	md5	drop
reads_2022	SRR32696693/SRR32696693_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/093/SRR32696693/SRR32696693_2.fastq.gz	6376593965	4014cebcb7d46259c3d012a9be637ddb	1
reads_2022	SRR32696694/SRR32696694_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/094/SRR32696694/SRR32696694_1.fastq.gz	5932982753	71029bc2b22d00daef255d0d3b83f040	1
reads_2022	SRR32696694/SRR32696694_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/094/SRR32696694/SRR32696694_2.fastq.gz	6135488457	aaf22acccbc44b6da1b825352869e123	1
reads_2022	SRR32696695/SRR32696695_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/095/SRR32696695/SRR32696695_1.fastq.gz	5978266341	6b2ac4bda7bb0a57953bc24167c6b149	1
reads_2022	SRR32696695/SRR32696695_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/095/SRR32696695/SRR32696695_2.fastq.gz	6269827681	ae50d8cb5307d5403142045f23d5d653	1
reads_2022	SRR32696696/SRR32696696_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/096/SRR32696696/SRR32696696_1.fastq.gz	5735369344	e0f6df3afb533ff62233e0d60ffb3c36	1
reads_2022	SRR32696696/SRR32696696_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/096/SRR32696696/SRR32696696_2.fastq.gz	5975762151	bb5492c31bce820a45d2c6cc4432215b	1
reads_2022	SRR32696697/SRR32696697_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/097/SRR32696697/SRR32696697_1.fastq.gz	5256232309	16039ffac3f4b8c9b573aa40d2690e50	1
reads_2022	SRR32696697/SRR32696697_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/097/SRR32696697/SRR32696697_2.fastq.gz	5463457557	81db649770993ae319cb8aeadf42bf8a	1
reads_2022	SRR32696698/SRR32696698_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/098/SRR32696698/SRR32696698_1.fastq.gz	4993620366	b7301d407a8bdc0d009832f20db6697d	1
