metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
zscore	self	0.0	0.2405	0.0	1288	1285	1028	0.8	0.7981	0.7991	0.9977	0.483	0.2912	0.3634	7.415
zscore	self	0.0	0.2405	0.05	1288	1281	980	0.765	0.7609	0.7629	0.9946	0.5231	0.2711	0.3571	4.189
zscore	self	0.0	0.2405	0.1	1288	1275	917	0.7192	0.712	0.7156	0.9899	0.551	0.2511	0.345	2.771
zscore	self	0.0	0.2405	0.15	1288	1259	866	0.6878	0.6724	0.68	0.9775	0.5594	0.2357	0.3316	2.125
zscore	self	0.0	0.2405	0.2	1288	1224	832	0.6797	0.646	0.6624	0.9503	0.587	0.2271	0.3275	1.767
zscore	self	0.0	0.2405	0.25	1288	1185	800	0.6751	0.6211	0.647	0.92	0.6019	0.217	0.319	1.592
zscore	self	0.0	0.2405	0.3	1288	1138	774	0.6801	0.6009	0.6381	0.8835	0.6234	0.2105	0.3148	1.447
zscore	self	0.0	0.2405	0.35	1288	1097	758	0.691	0.5885	0.6356	0.8517	0.6466	0.2065	0.3131	1.392
zscore	self	0.0	0.2405	0.4	1288	1047	743	0.7096	0.5769	0.6364	0.8129	0.6684	0.2017	0.3099	1.349
zscore	self	0.0	0.2405	0.45	1288	1004	723	0.7201	0.5613	0.6309	0.7795	0.6879	0.1944	0.3032	1.32
zscore	self	0.0	0.2405	0.5	1288	953	702	0.7366	0.545	0.6265	0.7399	0.7075	0.1865	0.2952	1.311
zscore	self	0.0	0.2405	0.55	1288	913	687	0.7525	0.5334	0.6243	0.7089	0.7253	0.1833	0.2927	1.29
zscore	self	0.0	0.2405	0.6	1288	859	669	0.7788	0.5194	0.6232	0.6669	0.7552	0.1804	0.2913	1.291
zscore	self	0.0	0.2405	0.65	1288	824	653	0.7925	0.507	0.6184	0.6398	0.7683	0.1762	0.2867	1.294
zscore	self	0.0	0.2405	0.7	1288	775	633	0.8168	0.4915	0.6137	0.6017	0.7938	0.1704	0.2805	1.278
zscore	self	0.0	0.2405	0.75	1288	738	619	0.8388	0.4806	0.6111	0.573	0.8191	0.167	0.2774	1.276
zscore	self	0.0	0.2405	0.8	1288	694	604	0.8703	0.4689	0.6095	0.5388	0.8518	0.1633	0.274	1.271
zscore	self	0.0	0.2405	0.85	1288	670	594	0.8866	0.4612	0.6067	0.5202	0.8713	0.1598	0.2701	1.238
zscore	self	0.0	0.2405	0.9	1288	629	572	0.9094	0.4441	0.5968	0.4884	0.8945	0.1545	0.2634	1.242
zscore	self	0.05	0.3944	0.0	1288	1221	1026	0.8403	0.7966	0.8179	0.948	0.5081	0.2906	0.3697	7.347
zscore	self	0.05	0.3944	0.05	1288	1218	978	0.803	0.7593	0.7805	0.9457	0.5501	0.2704	0.3626	4.158
