metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
dot	self	0.35	16.4834	0.0	1288	837	786	0.9391	0.6102	0.7398	0.6498	0.5949	0.2216	0.3229	5.257
dot	self	0.35	16.4834	0.05	1288	837	761	0.9092	0.5908	0.7162	0.6498	0.6385	0.2111	0.3173	3.521
dot	self	0.35	16.4834	0.1	1288	837	717	0.8566	0.5567	0.6748	0.6498	0.6631	0.1973	0.3041	2.552
dot	self	0.35	16.4834	0.15	1288	836	686	0.8206	0.5326	0.646	0.6491	0.6787	0.186	0.292	1.961
dot	self	0.35	16.4834	0.2	1288	827	656	0.7932	0.5093	0.6203	0.6421	0.6909	0.1772	0.2821	1.663
dot	self	0.35	16.4834	0.25	1288	814	632	0.7764	0.4907	0.6013	0.632	0.7048	0.1688	0.2724	1.507
dot	self	0.35	16.4834	0.3	1288	799	617	0.7722	0.479	0.5913	0.6203	0.7254	0.1651	0.2689	1.398
dot	self	0.35	16.4834	0.35	1288	776	601	0.7745	0.4666	0.5824	0.6025	0.7401	0.1612	0.2647	1.31
dot	self	0.35	16.4834	0.4	1288	748	593	0.7928	0.4604	0.5825	0.5807	0.7648	0.1577	0.2615	1.27
dot	self	0.35	16.4834	0.45	1288	722	577	0.7992	0.448	0.5741	0.5606	0.7771	0.1527	0.2553	1.257
dot	self	0.35	16.4834	0.5	1288	679	562	0.8277	0.4363	0.5714	0.5272	0.8095	0.1486	0.2511	1.262
dot	self	0.35	16.4834	0.55	1288	656	552	0.8415	0.4286	0.5679	0.5093	0.8226	0.1458	0.2478	1.264
dot	self	0.35	16.4834	0.6	1288	616	532	0.8636	0.413	0.5588	0.4783	0.8478	0.1408	0.2415	1.263
dot	self	0.35	16.4834	0.65	1288	597	524	0.8777	0.4068	0.556	0.4635	0.8622	0.138	0.238	1.254
dot	self	0.35	16.4834	0.7	1288	569	510	0.8963	0.396	0.5493	0.4418	0.8808	0.1341	0.2327	1.256
dot	self	0.35	16.4834	0.75	1288	549	498	0.9071	0.3866	0.5422	0.4262	0.8927	0.1314	0.229	1.26
dot	self	0.35	16.4834	0.8	1288	521	482	0.9251	0.3742	0.5329	0.4045	0.9131	0.1265	0.2222	1.238
dot	self	0.35	16.4834	0.85	1288	494	467	0.9453	0.3626	0.5241	0.3835	0.9327	0.1222	0.2161	1.241
dot	self	0.35	16.4834	0.9	1288	469	451	0.9616	0.3502	0.5134	0.3641	0.9483	0.1177	0.2094	1.245
dot	self	0.4	17.2494	0.0	1288	773	734	0.9495	0.5699	0.7123	0.6002	0.6132	0.206	0.3084	5.154
dot	self	0.4	17.2494	0.05	1288	773	714	0.9237	0.5543	0.6929	0.6002	0.656	0.1976	0.3037	3.47
dot	self	0.4	17.2494	0.1	1288	773	677	0.8758	0.5256	0.657	0.6002	0.6798	0.1855	0.2915	2.532
dot	self	0.4	17.2494	0.15	1288	772	650	0.842	0.5047	0.6311	0.5994	0.6963	0.1763	0.2813	1.944
dot	self	0.4	17.2494	0.2	1288	764	621	0.8128	0.4821	0.6053	0.5932	0.7079	0.168	0.2716	1.651
dot	self	0.4	17.2494	0.25	1288	751	598	0.7963	0.4643	0.5866	0.5831	0.7236	0.1596	0.2616	1.487
dot	self	0.4	17.2494	0.3	1288	738	583	0.79	0.4526	0.5755	0.573	0.7423	0.1559	0.2577	1.382
dot	self	0.4	17.2494	0.35	1288	716	567	0.7919	0.4402	0.5659	0.5559	0.7566	0.152	0.2532	1.293
dot	self	0.4	17.2494	0.4	1288	691	560	0.8104	0.4348	0.5659	0.5365	0.7815	0.1497	0.2513	1.257
dot	self	0.4	17.2494	0.45	1288	669	546	0.8161	0.4239	0.558	0.5194	0.7929	0.1457	0.2462	1.243
dot	self	0.4	17.2494	0.5	1288	633	531	0.8389	0.4123	0.5528	0.4915	0.8201	0.1416	0.2415	1.247
dot	self	0.4	17.2494	0.55	1288	613	522	0.8515	0.4053	0.5492	0.4759	0.8321	0.1389	0.238	1.248
dot	self	0.4	17.2494	0.6	1288	578	504	0.872	0.3913	0.5402	0.4488	0.8559	0.1342	0.232	1.245
dot	self	0.4	17.2494	0.65	1288	561	496	0.8841	0.3851	0.5365	0.4356	0.8685	0.1314	0.2283	1.247
dot	self	0.4	17.2494	0.7	1288	535	483	0.9028	0.375	0.5299	0.4154	0.8873	0.1282	0.2241	1.25
dot	self	0.4	17.2494	0.75	1288	518	473	0.9131	0.3672	0.5238	0.4022	0.8988	0.1257	0.2205	1.255
dot	self	0.4	17.2494	0.8	1288	492	458	0.9309	0.3556	0.5146	0.382	0.9192	0.1216	0.2147	1.23
dot	self	0.4	17.2494	0.85	1288	469	446	0.951	0.3463	0.5077	0.3641	0.9387	0.1184	0.2103	1.232
dot	self	0.4	17.2494	0.9	1288	444	430	0.9685	0.3339	0.4965	0.3447	0.9555	0.1139	0.2035	1.236
dot	self	0.45	17.9345	0.0	1288	708	675	0.9534	0.5241	0.6764	0.5497	0.6272	0.1915	0.2934	4.867
dot	self	0.45	17.9345	0.05	1288	708	659	0.9308	0.5116	0.6603	0.5497	0.667	0.1851	0.2898	3.381
dot	self	0.45	17.9345	0.1	1288	708	625	0.8828	0.4852	0.6263	0.5497	0.6877	0.1737	0.2773	2.476
dot	self	0.45	17.9345	0.15	1288	708	602	0.8503	0.4674	0.6032	0.5497	0.7042	0.1656	0.2682	1.91
dot	self	0.45	17.9345	0.2	1288	700	575	0.8214	0.4464	0.5785	0.5435	0.7156	0.1576	0.2583	1.621
dot	self	0.45	17.9345	0.25	1288	687	553	0.8049	0.4293	0.56	0.5334	0.733	0.1498	0.2488	1.454
dot	self	0.45	17.9345	0.3	1288	675	539	0.7985	0.4185	0.5492	0.5241	0.7527	0.1463	0.245	1.344
dot	self	0.45	17.9345	0.35	1288	654	524	0.8012	0.4068	0.5396	0.5078	0.7672	0.1427	0.2407	1.276
dot	self	0.45	17.9345	0.4	1288	635	519	0.8173	0.403	0.5398	0.493	0.7882	0.1408	0.2389	1.252
dot	self	0.45	17.9345	0.45	1288	617	508	0.8233	0.3944	0.5333	0.479	0.7997	0.1375	0.2346	1.238
dot	self	0.45	17.9345	0.5	1288	584	494	0.8459	0.3835	0.5278	0.4534	0.8264	0.1333	0.2296	1.242
dot	self	0.45	17.9345	0.55	1288	566	487	0.8604	0.3781	0.5254	0.4394	0.8402	0.1309	0.2265	1.244
dot	self	0.45	17.9345	0.6	1288	537	470	0.8752	0.3649	0.5151	0.4169	0.8589	0.1265	0.2205	1.24
dot	self	0.45	17.9345	0.65	1288	521	463	0.8887	0.3595	0.5119	0.4045	0.8728	0.1241	0.2172	1.241
dot	self	0.45	17.9345	0.7	1288	496	451	0.9093	0.3502	0.5056	0.3851	0.8925	0.1209	0.213	1.245
dot	self	0.45	17.9345	0.75	1288	481	442	0.9189	0.3432	0.4997	0.3734	0.9035	0.1185	0.2095	1.249
dot	self	0.45	17.9345	0.8	1288	459	429	0.9346	0.3331	0.4911	0.3564	0.9221	0.1146	0.2039	1.224
dot	self	0.45	17.9345	0.85	1288	439	419	0.9544	0.3253	0.4852	0.3408	0.9413	0.1118	0.1999	1.228
dot	self	0.45	17.9345	0.9	1288	415	403	0.9711	0.3129	0.4733	0.3222	0.9572	0.1073	0.193	1.231
dot	self	0.5	18.8627	0.0	1288	644	617	0.9581	0.479	0.6387	0.5	0.645	0.1779	0.2789	4.717
dot	self	0.5	18.8627	0.05	1288	644	605	0.9394	0.4697	0.6263	0.5	0.6798	0.1733	0.2762	3.323
dot	self	0.5	18.8627	0.1	1288	644	573	0.8898	0.4449	0.5932	0.5	0.7007	0.1628	0.2642	2.439
dot	self	0.5	18.8627	0.15	1288	644	552	0.8571	0.4286	0.5714	0.5	0.716	0.1556	0.2556	1.874
dot	self	0.5	18.8627	0.2	1288	638	528	0.8276	0.4099	0.5483	0.4953	0.7245	0.1481	0.2459	1.6
dot	self	0.5	18.8627	0.25	1288	625	508	0.8128	0.3944	0.5311	0.4852	0.7438	0.141	0.2371	1.447
dot	self	0.5	18.8627	0.3	1288	615	497	0.8081	0.3859	0.5223	0.4775	0.7623	0.138	0.2337	1.342
dot	self	0.5	18.8627	0.35	1288	596	482	0.8087	0.3742	0.5117	0.4627	0.7756	0.1344	0.2291	1.277
dot	self	0.5	18.8627	0.4	1288	579	477	0.8238	0.3703	0.511	0.4495	0.7962	0.1325	0.2272	1.256
dot	self	0.5	18.8627	0.45	1288	565	467	0.8265	0.3626	0.504	0.4387	0.8044	0.1294	0.2229	1.243
dot	self	0.5	18.8627	0.5	1288	534	455	0.8521	0.3533	0.4995	0.4146	0.8347	0.1268	0.2201	1.247
dot	self	0.5	18.8627	0.55	1288	518	448	0.8649	0.3478	0.4961	0.4022	0.847	0.1244	0.2169	1.249
dot	self	0.5	18.8627	0.6	1288	497	436	0.8773	0.3385	0.4885	0.3859	0.8613	0.1205	0.2114	1.241
dot	self	0.5	18.8627	0.65	1288	481	429	0.8919	0.3331	0.485	0.3734	0.8765	0.1181	0.2082	1.243
dot	self	0.5	18.8627	0.7	1288	460	419	0.9109	0.3253	0.4794	0.3571	0.8947	0.1152	0.2042	1.248
dot	self	0.5	18.8627	0.75	1288	448	413	0.9219	0.3207	0.4758	0.3478	0.9053	0.1133	0.2014	1.25
dot	self	0.5	18.8627	0.8	1288	428	402	0.9393	0.3121	0.4685	0.3323	0.9258	0.1096	0.1961	1.231
dot	self	0.5	18.8627	0.85	1288	410	392	0.9561	0.3043	0.4617	0.3183	0.9421	0.1069	0.192	1.234
dot	self	0.5	18.8627	0.9	1288	388	377	0.9716	0.2927	0.4499	0.3012	0.9568	0.1025	0.1852	1.242
dot	self	0.55	19.5895	0.0	1288	580	556	0.9586	0.4317	0.5953	0.4503	0.6614	0.1586	0.2558	4.548
dot	self	0.55	19.5895	0.05	1288	580	546	0.9414	0.4239	0.5846	0.4503	0.6956	0.1546	0.253	3.231
dot	self	0.55	19.5895	0.1	1288	580	523	0.9017	0.4061	0.56	0.4503	0.7201	0.1467	0.2438	2.397
dot	self	0.55	19.5895	0.15	1288	580	505	0.8707	0.3921	0.5407	0.4503	0.7345	0.1411	0.2367	1.841
dot	self	0.55	19.5895	0.2	1288	576	486	0.8438	0.3773	0.5215	0.4472	0.7437	0.1364	0.2305	1.594
dot	self	0.55	19.5895	0.25	1288	566	469	0.8286	0.3641	0.5059	0.4394	0.7625	0.1305	0.2228	1.45
dot	self	0.55	19.5895	0.3	1288	558	459	0.8226	0.3564	0.4973	0.4332	0.7775	0.1276	0.2193	1.353
dot	self	0.55	19.5895	0.35	1288	542	447	0.8247	0.347	0.4885	0.4208	0.7909	0.1247	0.2154	1.294
dot	self	0.55	19.5895	0.4	1288	526	443	0.8422	0.3439	0.4884	0.4084	0.8146	0.1235	0.2145	1.271
dot	self	0.55	19.5895	0.45	1288	514	434	0.8444	0.337	0.4817	0.3991	0.8212	0.1208	0.2106	1.255
dot	self	0.55	19.5895	0.5	1288	489	423	0.865	0.3284	0.4761	0.3797	0.8474	0.1183	0.2076	1.257
dot	self	0.55	19.5895	0.55	1288	475	416	0.8758	0.323	0.4719	0.3688	0.8577	0.1159	0.2042	1.258
dot	self	0.55	19.5895	0.6	1288	456	406	0.8904	0.3152	0.4656	0.354	0.8745	0.1125	0.1994	1.252
dot	self	0.55	19.5895	0.65	1288	443	401	0.9052	0.3113	0.4633	0.3439	0.89	0.111	0.1974	1.255
dot	self	0.55	19.5895	0.7	1288	426	393	0.9225	0.3051	0.4586	0.3307	0.9067	0.1089	0.1945	1.258
dot	self	0.55	19.5895	0.75	1288	416	388	0.9327	0.3012	0.4554	0.323	0.9165	0.1072	0.192	1.26
dot	self	0.55	19.5895	0.8	1288	398	377	0.9472	0.2927	0.4472	0.309	0.9328	0.1036	0.1865	1.244
dot	self	0.55	19.5895	0.85	1288	381	368	0.9659	0.2857	0.441	0.2958	0.9508	0.1008	0.1823	1.247
dot	self	0.55	19.5895	0.9	1288	361	354	0.9806	0.2748	0.4294	0.2803	0.9647	0.0973	0.1767	1.255
dot	self	0.6	20.2983	0.0	1288	515	495	0.9612	0.3843	0.5491	0.3998	0.666	0.1383	0.2291	4.561
dot	self	0.6	20.2983	0.05	1288	515	487	0.9456	0.3781	0.5402	0.3998	0.6996	0.1349	0.2262	3.266
dot	self	0.6	20.2983	0.1	1288	515	467	0.9068	0.3626	0.518	0.3998	0.7255	0.1274	0.2168	2.427
dot	self	0.6	20.2983	0.15	1288	515	451	0.8757	0.3502	0.5003	0.3998	0.7416	0.1233	0.2115	1.845
dot	self	0.6	20.2983	0.2	1288	511	436	0.8532	0.3385	0.4847	0.3967	0.7542	0.1192	0.2059	1.585
dot	self	0.6	20.2983	0.25	1288	501	421	0.8403	0.3269	0.4707	0.389	0.7743	0.1147	0.1999	1.446
dot	self	0.6	20.2983	0.3	1288	494	412	0.834	0.3199	0.4624	0.3835	0.7891	0.1123	0.1966	1.348
dot	self	0.6	20.2983	0.35	1288	478	400	0.8368	0.3106	0.453	0.3711	0.8036	0.1093	0.1925	1.283
dot	self	0.6	20.2983	0.4	1288	462	396	0.8571	0.3075	0.4526	0.3587	0.831	0.1082	0.1915	1.263
dot	self	0.6	20.2983	0.45	1288	451	388	0.8603	0.3012	0.4462	0.3502	0.8376	0.1062	0.1886	1.256
dot	self	0.6	20.2983	0.5	1288	430	379	0.8814	0.2943	0.4412	0.3339	0.8633	0.1041	0.1859	1.255
dot	self	0.6	20.2983	0.55	1288	419	372	0.8878	0.2888	0.4359	0.3253	0.8692	0.1017	0.1821	1.26
dot	self	0.6	20.2983	0.6	1288	405	365	0.9012	0.2834	0.4312	0.3144	0.8854	0.0993	0.1786	1.252
dot	self	0.6	20.2983	0.65	1288	393	360	0.916	0.2795	0.4283	0.3051	0.901	0.0978	0.1764	1.257
dot	self	0.6	20.2983	0.7	1288	379	353	0.9314	0.2741	0.4235	0.2943	0.9158	0.0965	0.1746	1.261
dot	self	0.6	20.2983	0.75	1288	370	348	0.9405	0.2702	0.4198	0.2873	0.9245	0.0948	0.172	1.262
dot	self	0.6	20.2983	0.8	1288	359	341	0.9499	0.2648	0.4141	0.2787	0.9348	0.0926	0.1685	1.251
dot	self	0.6	20.2983	0.85	1288	344	333	0.968	0.2585	0.4081	0.2671	0.9523	0.09	0.1644	1.253
