metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
cosine	self	0.05	0.5672	0.65	1288	789	650	0.8238	0.5047	0.6259	0.6126	0.8022	0.175	0.2873	1.302
cosine	self	0.05	0.5672	0.7	1288	743	629	0.8466	0.4884	0.6194	0.5769	0.8245	0.1696	0.2813	1.283
cosine	self	0.05	0.5672	0.75	1288	711	617	0.8678	0.479	0.6173	0.552	0.8484	0.1666	0.2785	1.28
cosine	self	0.05	0.5672	0.8	1288	679	603	0.8881	0.4682	0.6131	0.5272	0.8704	0.1626	0.2741	1.268
cosine	self	0.05	0.5672	0.85	1288	652	589	0.9034	0.4573	0.6072	0.5062	0.889	0.1588	0.2695	1.239
cosine	self	0.05	0.5672	0.9	1288	612	566	0.9248	0.4394	0.5958	0.4752	0.9095	0.1536	0.2628	1.243
cosine	self	0.1	0.635	0.0	1288	1157	1027	0.8876	0.7974	0.8401	0.8983	0.5342	0.2902	0.3761	7.073
cosine	self	0.1	0.635	0.05	1288	1157	980	0.847	0.7609	0.8016	0.8983	0.5795	0.2713	0.3695	4.078
cosine	self	0.1	0.635	0.1	1288	1152	912	0.7917	0.7081	0.7475	0.8944	0.6109	0.2511	0.3559	2.627
cosine	self	0.1	0.635	0.15	1288	1138	860	0.7557	0.6677	0.709	0.8835	0.6205	0.234	0.3398	2.058
cosine	self	0.1	0.635	0.2	1288	1112	828	0.7446	0.6429	0.69	0.8634	0.6473	0.2255	0.3345	1.708
cosine	self	0.1	0.635	0.25	1288	1076	792	0.7361	0.6149	0.6701	0.8354	0.6593	0.2138	0.3229	1.549
cosine	self	0.1	0.635	0.3	1288	1036	769	0.7423	0.597	0.6618	0.8043	0.6846	0.2086	0.3198	1.444
cosine	self	0.1	0.635	0.35	1288	1001	755	0.7542	0.5862	0.6597	0.7772	0.7128	0.2059	0.3195	1.367
cosine	self	0.1	0.635	0.4	1288	957	740	0.7732	0.5745	0.6592	0.743	0.7347	0.2012	0.3159	1.349
cosine	self	0.1	0.635	0.45	1288	926	718	0.7754	0.5575	0.6486	0.7189	0.7469	0.1924	0.3059	1.308
cosine	self	0.1	0.635	0.5	1288	871	699	0.8025	0.5427	0.6475	0.6762	0.7765	0.1858	0.2999	1.309
