metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
correlation	pool	0.95	1.0	0.2	1288	206	176	0.8544	0.1366	0.2356	0.1599	0.7607	0.0473	0.0891	1.646
correlation	pool	0.95	1.0	0.25	1288	205	167	0.8146	0.1297	0.2237	0.1592	0.7585	0.0446	0.0842	1.493
correlation	pool	0.95	1.0	0.3	1288	192	158	0.8229	0.1227	0.2135	0.1491	0.7934	0.0415	0.0789	1.37
correlation	pool	0.95	1.0	0.35	1288	182	154	0.8462	0.1196	0.2095	0.1413	0.8288	0.0408	0.0779	1.335
correlation	pool	0.95	1.0	0.4	1288	174	151	0.8678	0.1172	0.2066	0.1351	0.8554	0.04	0.0764	1.322
correlation	pool	0.95	1.0	0.45	1288	171	151	0.883	0.1172	0.207	0.1328	0.8733	0.04	0.0765	1.316
correlation	pool	0.95	1.0	0.5	1288	168	150	0.8929	0.1165	0.206	0.1304	0.8829	0.0399	0.0764	1.321
correlation	pool	0.95	1.0	0.55	1288	160	147	0.9187	0.1141	0.203	0.1242	0.9083	0.0388	0.0745	1.337
correlation	pool	0.95	1.0	0.6	1288	158	146	0.9241	0.1134	0.2019	0.1227	0.9135	0.0385	0.0739	1.329
correlation	pool	0.95	1.0	0.65	1288	152	142	0.9342	0.1102	0.1972	0.118	0.9232	0.0379	0.0728	1.322
correlation	pool	0.95	1.0	0.7	1288	146	138	0.9452	0.1071	0.1925	0.1134	0.9338	0.0371	0.0714	1.322
correlation	pool	0.95	1.0	0.75	1288	141	134	0.9504	0.104	0.1875	0.1095	0.9385	0.0363	0.07	1.319
correlation	pool	0.95	1.0	0.8	1288	134	132	0.9851	0.1025	0.1857	0.104	0.9726	0.0356	0.0686	1.328
correlation	pool	0.95	1.0	0.85	1288	128	128	1.0	0.0994	0.1808	0.0994	0.987	0.0342	0.066	1.344
correlation	pool	0.95	1.0	0.9	1288	121	121	1.0	0.0939	0.1718	0.0939	0.9917	0.0326	0.063	1.223
correlation	self	0.0	0.43	0.0	1288	1285	1033	0.8039	0.802	0.803	0.9977	0.4823	0.2928	0.3644	7.288
correlation	self	0.0	0.43	0.05	1288	1283	983	0.7662	0.7632	0.7647	0.9961	0.5225	0.2721	0.3578	4.133
correlation	self	0.0	0.43	0.1	1288	1278	915	0.716	0.7104	0.7132	0.9922	0.5498	0.2519	0.3455	2.69
correlation	self	0.0	0.43	0.15	1288	1261	862	0.6836	0.6693	0.6763	0.979	0.5586	0.2348	0.3306	2.083
correlation	self	0.0	0.43	0.2	1288	1226	830	0.677	0.6444	0.6603	0.9519	0.5858	0.2263	0.3265	1.76
correlation	self	0.0	0.43	0.25	1288	1183	792	0.6695	0.6149	0.641	0.9185	0.597	0.2141	0.3152	1.575
correlation	self	0.0	0.43	0.3	1288	1136	770	0.6778	0.5978	0.6353	0.882	0.6216	0.209	0.3128	1.459
correlation	self	0.0	0.43	0.35	1288	1096	756	0.6898	0.587	0.6342	0.8509	0.6474	0.2063	0.3129	1.382
correlation	self	0.0	0.43	0.4	1288	1049	741	0.7064	0.5753	0.6341	0.8144	0.6668	0.2016	0.3096	1.339
correlation	self	0.0	0.43	0.45	1288	1007	719	0.714	0.5582	0.6266	0.7818	0.683	0.1928	0.3007	1.303
correlation	self	0.0	0.43	0.5	1288	949	700	0.7376	0.5435	0.6258	0.7368	0.7092	0.1862	0.295	1.3
correlation	self	0.0	0.43	0.55	1288	898	685	0.7628	0.5318	0.6267	0.6972	0.7358	0.1836	0.2939	1.294
correlation	self	0.0	0.43	0.6	1288	864	667	0.772	0.5179	0.6199	0.6708	0.7504	0.1801	0.2904	1.291
correlation	self	0.0	0.43	0.65	1288	825	650	0.7879	0.5047	0.6152	0.6405	0.7657	0.175	0.2849	1.295
correlation	self	0.0	0.43	0.7	1288	775	629	0.8116	0.4884	0.6098	0.6017	0.7887	0.1696	0.2791	1.275
correlation	self	0.0	0.43	0.75	1288	739	617	0.8349	0.479	0.6088	0.5738	0.8153	0.1666	0.2767	1.272
correlation	self	0.0	0.43	0.8	1288	704	603	0.8565	0.4682	0.6054	0.5466	0.8384	0.1626	0.2724	1.261
correlation	self	0.0	0.43	0.85	1288	673	589	0.8752	0.4573	0.6007	0.5225	0.8601	0.1588	0.2682	1.234
correlation	self	0.0	0.43	0.9	1288	625	566	0.9056	0.4394	0.5917	0.4852	0.8892	0.1536	0.2619	1.24
correlation	self	0.05	0.5662	0.0	1288	1221	1030	0.8436	0.7997	0.821	0.948	0.5069	0.2914	0.3701	7.274
correlation	self	0.05	0.5662	0.05	1288	1220	982	0.8049	0.7624	0.7831	0.9472	0.5499	0.2717	0.3637	4.127
correlation	self	0.05	0.5662	0.1	1288	1215	914	0.7523	0.7096	0.7303	0.9433	0.5787	0.2515	0.3506	2.681
correlation	self	0.05	0.5662	0.15	1288	1202	861	0.7163	0.6685	0.6916	0.9332	0.5877	0.2344	0.3351	2.066
correlation	self	0.05	0.5662	0.2	1288	1170	829	0.7085	0.6436	0.6745	0.9084	0.6156	0.2259	0.3305	1.735
correlation	self	0.05	0.5662	0.25	1288	1130	792	0.7009	0.6149	0.6551	0.8773	0.6277	0.2141	0.3193	1.564
correlation	self	0.05	0.5662	0.3	1288	1086	770	0.709	0.5978	0.6487	0.8432	0.6533	0.209	0.3167	1.451
correlation	self	0.05	0.5662	0.35	1288	1048	756	0.7214	0.587	0.6473	0.8137	0.681	0.2063	0.3167	1.377
correlation	self	0.05	0.5662	0.4	1288	1003	741	0.7388	0.5753	0.6469	0.7787	0.7017	0.2016	0.3132	1.344
correlation	self	0.05	0.5662	0.45	1288	964	719	0.7459	0.5582	0.6385	0.7484	0.7181	0.1928	0.3039	1.309
correlation	self	0.05	0.5662	0.5	1288	910	700	0.7692	0.5435	0.6369	0.7065	0.7439	0.1862	0.2979	1.307
correlation	self	0.05	0.5662	0.55	1288	863	685	0.7937	0.5318	0.6369	0.67	0.7695	0.1836	0.2965	1.301
correlation	self	0.05	0.5662	0.6	1288	829	667	0.8046	0.5179	0.6301	0.6436	0.7836	0.1801	0.2928	1.298
correlation	self	0.05	0.5662	0.65	1288	791	650	0.8217	0.5047	0.6253	0.6141	0.8002	0.175	0.2872	1.302
correlation	self	0.05	0.5662	0.7	1288	744	629	0.8454	0.4884	0.6191	0.5776	0.8234	0.1696	0.2812	1.283
correlation	self	0.05	0.5662	0.75	1288	711	617	0.8678	0.479	0.6173	0.552	0.8484	0.1666	0.2785	1.28
correlation	self	0.05	0.5662	0.8	1288	679	603	0.8881	0.4682	0.6131	0.5272	0.8704	0.1626	0.2741	1.268
correlation	self	0.05	0.5662	0.85	1288	652	589	0.9034	0.4573	0.6072	0.5062	0.889	0.1588	0.2695	1.239
correlation	self	0.05	0.5662	0.9	1288	611	566	0.9264	0.4394	0.5961	0.4744	0.911	0.1536	0.2628	1.243
correlation	self	0.1	0.6338	0.0	1288	1157	1027	0.8876	0.7974	0.8401	0.8983	0.5344	0.2902	0.3761	7.07
correlation	self	0.1	0.6338	0.05	1288	1157	980	0.847	0.7609	0.8016	0.8983	0.5797	0.2713	0.3696	4.07
correlation	self	0.1	0.6338	0.1	1288	1152	912	0.7917	0.7081	0.7475	0.8944	0.6101	0.2511	0.3558	2.637
correlation	self	0.1	0.6338	0.15	1288	1139	860	0.755	0.6677	0.7087	0.8843	0.6201	0.234	0.3398	2.051
correlation	self	0.1	0.6338	0.2	1288	1113	828	0.7439	0.6429	0.6897	0.8641	0.6469	0.2255	0.3345	1.705
correlation	self	0.1	0.6338	0.25	1288	1074	791	0.7365	0.6141	0.6698	0.8339	0.6602	0.2137	0.3229	1.546
correlation	self	0.1	0.6338	0.3	1288	1038	769	0.7408	0.597	0.6612	0.8059	0.6833	0.2086	0.3196	1.445
correlation	self	0.1	0.6338	0.35	1288	1001	755	0.7542	0.5862	0.6597	0.7772	0.7128	0.2059	0.3195	1.367
correlation	self	0.1	0.6338	0.4	1288	957	740	0.7732	0.5745	0.6592	0.743	0.7347	0.2012	0.3159	1.341
correlation	self	0.1	0.6338	0.45	1288	925	718	0.7762	0.5575	0.6489	0.7182	0.7477	0.1924	0.306	1.308
correlation	self	0.1	0.6338	0.5	1288	873	699	0.8007	0.5427	0.6469	0.6778	0.7748	0.1858	0.2998	1.308
correlation	self	0.1	0.6338	0.55	1288	832	684	0.8221	0.5311	0.6453	0.646	0.7976	0.1832	0.298	1.3
correlation	self	0.1	0.6338	0.6	1288	799	666	0.8335	0.5171	0.6382	0.6203	0.8125	0.1797	0.2943	1.297
correlation	self	0.1	0.6338	0.65	1288	764	650	0.8508	0.5047	0.6335	0.5932	0.8293	0.175	0.289	1.3
correlation	self	0.1	0.6338	0.7	1288	717	629	0.8773	0.4884	0.6274	0.5567	0.8554	0.1696	0.283	1.285
correlation	self	0.1	0.6338	0.75	1288	689	617	0.8955	0.479	0.6242	0.5349	0.8766	0.1666	0.28	1.285
correlation	self	0.1	0.6338	0.8	1288	657	603	0.9178	0.4682	0.6201	0.5101	0.8994	0.1626	0.2755	1.276
correlation	self	0.1	0.6338	0.85	1288	633	589	0.9305	0.4573	0.6132	0.4915	0.9156	0.1588	0.2707	1.244
correlation	self	0.1	0.6338	0.9	1288	596	566	0.9497	0.4394	0.6008	0.4627	0.9338	0.1536	0.2638	1.247
correlation	self	0.15	0.7096	0.0	1288	1093	1016	0.9296	0.7888	0.8534	0.8486	0.5648	0.2846	0.3785	6.874
correlation	self	0.15	0.7096	0.05	1288	1093	974	0.8911	0.7562	0.8181	0.8486	0.6123	0.267	0.3718	3.99
correlation	self	0.15	0.7096	0.1	1288	1088	908	0.8346	0.705	0.7643	0.8447	0.6446	0.2486	0.3588	2.609
correlation	self	0.15	0.7096	0.15	1288	1077	857	0.7957	0.6654	0.7247	0.8362	0.6559	0.2322	0.343	2.041
correlation	self	0.15	0.7096	0.2	1288	1054	825	0.7827	0.6405	0.7045	0.8183	0.6827	0.2238	0.3371	1.703
correlation	self	0.15	0.7096	0.25	1288	1019	788	0.7733	0.6118	0.6831	0.7911	0.6952	0.212	0.3249	1.541
correlation	self	0.15	0.7096	0.3	1288	987	766	0.7761	0.5947	0.6734	0.7663	0.7181	0.2069	0.3212	1.438
correlation	self	0.15	0.7096	0.35	1288	954	752	0.7883	0.5839	0.6708	0.7407	0.7476	0.2042	0.3208	1.359
correlation	self	0.15	0.7096	0.4	1288	915	737	0.8055	0.5722	0.6691	0.7104	0.7681	0.1995	0.3167	1.333
