metric	condition	nn_quantile	nn_threshold	floor	n_adjudicable	n_fired	n_correct	precision	recall	f1	coverage	mnxr_macro_precision	mnxr_macro_recall	mnxr_macro_f1	mnxr_mean_pred_size
euclidean	twin	0.65	18.9043	0.35	1288	417	375	0.8993	0.2911	0.4399	0.3238	0.863	0.1024	0.1831	1.309
euclidean	twin	0.65	18.9043	0.4	1288	403	370	0.9181	0.2873	0.4376	0.3129	0.8888	0.1006	0.1808	1.272
euclidean	twin	0.65	18.9043	0.45	1288	393	360	0.916	0.2795	0.4283	0.3051	0.8963	0.0981	0.1769	1.257
euclidean	twin	0.65	18.9043	0.5	1288	384	357	0.9297	0.2772	0.427	0.2981	0.9108	0.0977	0.1764	1.258
euclidean	twin	0.65	18.9043	0.55	1288	370	350	0.9459	0.2717	0.4222	0.2873	0.9277	0.0956	0.1734	1.262
euclidean	twin	0.65	18.9043	0.6	1288	355	340	0.9577	0.264	0.4139	0.2756	0.9387	0.0916	0.1669	1.273
euclidean	twin	0.65	18.9043	0.65	1288	351	336	0.9573	0.2609	0.41	0.2725	0.9395	0.0904	0.1649	1.271
euclidean	twin	0.65	18.9043	0.7	1288	342	333	0.9737	0.2585	0.4086	0.2655	0.9554	0.0894	0.1634	1.26
euclidean	twin	0.65	18.9043	0.75	1288	327	320	0.9786	0.2484	0.3963	0.2539	0.961	0.0844	0.1552	1.26
euclidean	twin	0.65	18.9043	0.8	1288	319	314	0.9843	0.2438	0.3908	0.2477	0.9663	0.0824	0.1519	1.26
euclidean	twin	0.65	18.9043	0.85	1288	312	308	0.9872	0.2391	0.385	0.2422	0.9704	0.082	0.1512	1.26
euclidean	twin	0.65	18.9043	0.9	1288	302	299	0.9901	0.2321	0.3761	0.2345	0.9727	0.0804	0.1486	1.265
euclidean	twin	0.7	19.9705	0.0	1288	387	381	0.9845	0.2958	0.4549	0.3005	0.704	0.1072	0.186	4.871
euclidean	twin	0.7	19.9705	0.05	1288	387	374	0.9664	0.2904	0.4466	0.3005	0.7412	0.1036	0.1818	3.194
euclidean	twin	0.7	19.9705	0.1	1288	387	364	0.9406	0.2826	0.4346	0.3005	0.7747	0.1007	0.1783	2.344
euclidean	twin	0.7	19.9705	0.15	1288	386	351	0.9093	0.2725	0.4194	0.2997	0.791	0.0971	0.173	1.865
euclidean	twin	0.7	19.9705	0.2	1288	383	341	0.8903	0.2648	0.4081	0.2974	0.8112	0.095	0.1701	1.559
euclidean	twin	0.7	19.9705	0.25	1288	374	332	0.8877	0.2578	0.3995	0.2904	0.8272	0.0913	0.1645	1.448
euclidean	twin	0.7	19.9705	0.3	1288	366	328	0.8962	0.2547	0.3966	0.2842	0.854	0.0904	0.1635	1.381
euclidean	twin	0.7	19.9705	0.35	1288	360	324	0.9	0.2516	0.3932	0.2795	0.8682	0.0889	0.1612	1.313
euclidean	twin	0.7	19.9705	0.4	1288	347	320	0.9222	0.2484	0.3914	0.2694	0.8975	0.0878	0.16	1.282
euclidean	twin	0.7	19.9705	0.45	1288	339	311	0.9174	0.2415	0.3823	0.2632	0.8985	0.0857	0.1565	1.274
euclidean	twin	0.7	19.9705	0.5	1288	331	308	0.9305	0.2391	0.3805	0.257	0.9126	0.0853	0.156	1.275
