name,n,E_max,E_min,E_p50,E_p90,E_p99,spread,auroc,p100,p500,single_top100,multichannel_top100,watch_rank,watch_E
lam0=-4 lam1=3 tau=0.25,7974,1.0,0.01807354824350122,0.02927643659937146,0.32864220622683776,0.9928589227280942,55.32947855768023,0.7709528805241606,0.66,0.616,0.0,0.93,881,0.2689414213699951
lam0=-4 lam1=3 tau=0.5,7974,1.0,0.018029845156013653,0.023218759900021913,0.1717526713196598,0.9158088228781662,55.46359335573446,0.7678775569730252,0.64,0.608,0.0,0.92,513,0.26894142135724247
lam0=-4 lam1=3 tau=1,7974,1.0,0.018008019073028222,0.020498559175617975,0.06859181590689882,0.47633258163905134,55.53081635157555,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.26893867875493216
lam0=-4 lam1=4 tau=0.1,7974,1.0,0.018278595845218425,0.07317264384447203,0.9569669987802987,0.9999927299398885,54.70879757219394,0.7729485913755989,0.67,0.642,0.0,0.96,1376,0.5
lam0=-4 lam1=4 tau=0.25,7974,1.0,0.01810275341171624,0.034389419847462556,0.5940877165598843,0.999634165956061,55.24021552173342,0.7709546279052731,0.66,0.616,0.0,0.93,881,0.5
lam0=-4 lam1=4 tau=0.5,7974,1.0,0.01804441330051891,0.025273441806202696,0.3177043520578568,0.9891815335579763,55.418814862284414,0.7678759440058444,0.64,0.608,0.0,0.92,513,0.4999999999783793
lam0=-4 lam1=4 tau=1,7974,1.0,0.01801529454388027,0.02141005263990577,0.10482769637026271,0.7697691950449147,55.50839024942262,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.49999535019084285
lam0=-3 lam1=1 tau=0.1,7974,0.9999999999999969,0.047611704369680576,0.06693602726113083,0.22713679732665268,0.7227081903038648,21.00323887243161,0.7729494650661551,0.67,0.642,0.0,0.96,1376,0.11920292202211755
lam0=-3 lam1=1 tau=0.25,7974,0.9999999999998641,0.04750021453199761,0.05552725136141365,0.12956870755446365,0.49456093453545424,21.052536495940103,0.7709532165589899,0.66,0.616,0.0,0.93,881,0.11920292202211755
lam0=-3 lam1=1 tau=0.5,7974,0.999999999914027,0.04746304531786455,0.0515097345375207,0.1005538778119902,0.2950266799202924,21.069023136145848,0.7678789683193084,0.64,0.608,0.0,0.92,513,0.11920292201984749
lam0=-3 lam1=1 tau=1,7974,0.999999737193106,0.047444459611935955,0.04947424454941404,0.07336073206040174,0.15469441211177218,21.077271094927355,0.7650232099256624,0.64,0.554,0.0,0.89,145,0.11920243382284712
lam0=-3 lam1=2 tau=0.1,7974,1.0,0.04779822717636266,0.09368296212340134,0.6343445600021915,0.9927239887241519,20.921278027954212,0.7729484569616671,0.67,0.642,0.0,0.96,1376,0.2689414213699951
lam0=-3 lam1=2 tau=0.25,7974,1.0,0.04757466659854201,0.06491820971948085,0.30798531929115,0.9505690590665539,21.01959028821962,0.7709547623192049,0.66,0.616,0.0,0.93,881,0.2689414213699951
lam0=-3 lam1=2 tau=0.5,7974,1.0,0.04750024514064589,0.05592461311258682,0.2006605658882683,0.7786491687480952,21.052522929914346,0.7678789683193084,0.64,0.608,0.0,0.92,513,0.26894142136149335
lam0=-3 lam1=2 tau=1,7974,0.9999999999999967,0.04746305296748165,0.05160629416636709,0.11181339606257948,0.40215512514762186,21.069019742264082,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.2689395929579887
lam0=-3 lam1=3 tau=0.1,7974,1.0,0.04798544388486849,0.12963281088005013,0.9110360479384675,0.9998600106781205,20.83965300809347,0.7729516156890629,0.67,0.642,0.0,0.96,1376,0.5
lam0=-3 lam1=3 tau=0.25,7974,1.0,0.047649229523820155,0.07576998377058497,0.5709351164004424,0.9973610320369599,20.98669821093526,0.7709528805241606,0.66,0.616,0.0,0.93,881,0.5
lam0=-3 lam1=3 tau=0.5,7974,1.0,0.04753747266424809,0.0606936755827111,0.3604857641370809,0.9672868357747606,21.036036287896273,0.7678775569730252,0.64,0.608,0.0,0.92,513,0.4999999999837845
lam0=-3 lam1=3 tau=1,7974,1.0,0.047481653246496655,0.053825019827106066,0.1667934776464006,0.7120287315212405,21.06076624604016,0.7650234787535258,0.64,0.554,0.0,0.89,145,0.4999965126431321
